"UID","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
2239,1179,1950.05995641276,175.505396077149,"Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,-9999,80,62,23,-9999,77,"III-A",49,165,167,0.192157,0.647059,0.654902
2241,11,1138.65997454897,102.479397709407,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
2241,31,8.99999979883432,0.809999981895089,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902
2241,879,524.7599882707,47.228398944363,"Rocky Mountain Aspen Forest and Woodland","Hardwood",163,-9999,-9999,163,100,-9999,-9999,"IV-B",255,255,115,1,1,0.45098
2241,881,651.339985441417,58.6205986897275,"Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",216,-9999,-9999,216,100,-9999,-9999,"V-A",102,205,171,0.4,0.803922,0.670588
2241,883,27.579999383539,2.48219994451851,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098,0.823529,1
2241,884,79.9999982118607,7.19999983906746,"Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",165,49,19,13,8,26,66,"I-B",168,56,0,0.658824,0.219608,0
2241,885,1.99999995529652,0.179999995976686,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,-9999,-9999,333,100,-9999,-9999,"V-A",211,255,190,0.827451,1,0.745098
2241,889,3.99999991059303,0.359999991953373,"Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",11,190,127,0.043137,0.745098,0.498039
2241,891,52.9999988153577,4.76999989338219,"Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804
2241,892,27.1599993929267,2.4443999453634,"Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush","Shrubland",98,-9999,-9999,98,100,-9999,-9999,"IV-A",255,163,180,1,0.639216,0.705882
2241,894,86.9999980553985,7.82999982498586,"Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany","Shrubland",89,-9999,-9999,89,100,-9999,-9999,"IV-A",137,68,101,0.537255,0.266667,0.396078
2241,898,34992.0992178656,3149.28892960791,"Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",86,-9999,-9999,86,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745
2241,905,5097.71988605708,458.794789745137,"Rocky Mountain Montane Riparian Systems","Riparian",271,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706
2241,1146,1538.81996560469,138.493796904422,"Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.45098
2241,1148,1.99999995529652,0.179999995976686,"Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",385,-9999,-9999,385,100,-9999,-9999,"V-A",102,205,171,0.4,0.803922,0.670588
2241,1149,127.919997140765,11.5127997426689,"Rocky Mountain Lodgepole Pine Forest","Conifer",152,-9999,640,123,81,-9999,19,"IV-B",128,251,26,0.501961,0.984314,0.101961
2241,1150,241.19999460876,21.7079995147884,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098,0.823529,1
2241,1151,97.1999978274107,8.74799980446696,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.45098,0.584314,0.901961
